Project,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District,Street
ALIAS VILLAS,0.0,6,0,10,JALAN HAJI ALIAS
TK ONE,0.0,5,0,15,LORONG N TELOK KURAU
12 ON SHAN,0.0,30,0,12,SHAN ROAD
LINK RESIDENCE @ HOLLAND,0.0,2,0,10,GREENLEAF ROAD
FERRA,0.0,33,0,9,LEONIE HILL
REZI 24,3.64,110,4,14,LORONG 24 GEYLANG
NYON,4.35,92,4,15,AMBER ROAD
RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD
ONE DRAYCOTT,4.69,64,3,10,DRAYCOTT PARK
THE ESSENCE,7.14,84,6,26,CHONG KUO ROAD
10 EVELYN,7.14,56,4,11,EVELYN ROAD
35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD
MONT BOTANIK RESIDENCE,11.11,54,6,23,JALAN REMAJA
ONE MEYER,15.15,66,10,15,MEYER PLACE
FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD
CASA AL MARE,22.45,49,11,17,JALAN LOYANG BESAR
THE JOVELL,26.8,250,67,17,FLORA DRIVE
1953,31.03,58,18,12,TESSENSOHN ROAD
M5,33.33,33,11,10,JALAN MUTIARA
RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD
PARKSUITES,34.0,50,17,10,HOLLAND GROVE ROAD
KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU
3 CUSCADEN,36.46,96,35,10,CUSCADEN WALK
38 JERVOIS,37.04,27,10,10,JERVOIS ROAD
THE FLORENCE RESIDENCES,38.5,200,77,19,HOUGANG AVENUE 2
EDEN RESIDENCES CAPITOL,41.03,39,16,6,STAMFORD ROAD
HILLSGROVE,41.67,12,5,19,HILLSIDE DRIVE
JUI RESIDENCES,42.74,117,50,12,SERANGOON ROAD
LANDED HOUSING DEVELOPMENT,44.44,9,4,26,MENG SUAN ROAD
FOURTH AVENUE RESIDENCES,46.43,168,78,10,FOURTH AVENUE
CAYMAN RESIDENCES,47.37,19,9,15,EAST COAST AVENUE
BOTANIC @ CLUNY PARK,50.0,6,3,10,CLUNY PARK ROAD
BUKIT 828,52.94,17,9,23,UPPER BUKIT TIMAH ROAD
THE WOODLEIGH RESIDENCES,54.0,50,27,13,BIDADARI PARK DRIVE
CASHEW GREEN,54.55,11,6,23,CASHEW ROAD
THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD
DAINTREE RESIDENCE,58.75,80,47,21,TOH TUCK ROAD
TREASURE AT TAMPINES,58.98,490,289,18,TAMPINES LANE
KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD
BIJOU,65.83,120,79,5,JALAN MAT JAMBOL
CARPMAEL THIRTY-EIGHT,68.75,16,11,15,CARPMAEL ROAD
SANDY EIGHT,70.0,20,14,15,SANDY LANE
URBAN VILLAS,71.43,7,5,19,PAYA LEBAR CRESCENT
ARENA RESIDENCES,71.43,70,50,14,GUILLEMARD CRESCENT
PARK COLONIAL,72.05,805,580,13,WOODLEIGH LANE
NIM COLLECTION,72.45,98,71,28,NIM RISE/NIM TERRACE
PARC BOTANNIA,72.79,735,535,28,FERNVALE STREET
THE ADDITION,73.08,26,19,13,MEYAPPA CHETTIAR ROAD
AFFINITY AT SERANGOON,74.0,650,481,19,SERANGOON NORTH AVENUE 1
BOULEVARD 88,74.29,35,26,10,ORCHARD BOULEVARD
ONE TREE HILL COLLECTION,75.0,4,3,10,JALAN ARNAP/ONE TREE HILL/JALAN KELAWAR
RIVERFRONT RESIDENCES,78.17,1200,938,19,HOUGANG AVENUE 7
THE GARDEN RESIDENCES,78.85,156,123,19,SERANGOON NORTH VIEW
ARTRA,79.5,400,318,3,ALEXANDRA VIEW
8 HULLET,79.55,44,35,9,HULLET ROAD
JADESCAPE,80.21,480,385,20,SHUNFU ROAD
THE RAMFORD,81.25,16,13,15,RAMBAI ROAD
BELGRAVIA GREEN,81.63,49,40,28,BELGRAVIA DRIVE
AMBER 45,82.5,120,99,15,AMBER ROAD
KANDIS RESIDENCE,83.61,61,51,27,KANDIS LINK
MARGARET VILLE,85.11,188,160,3,MARGARET DRIVE
MARINA ONE RESIDENCES,85.39,671,573,1,MARINA WAY
NEEM TREE,86.11,72,62,12,JALAN KEMAMAN
THE TAPESTRY,87.43,700,612,18,TAMPINES STREET 86
TWIN VEW,87.5,520,455,5,WEST COAST VALE
SEASIDE RESIDENCES,87.75,841,738,15,SIGLAP LINK
PARC ESTA,87.82,550,483,14,SIMS AVENUE
STIRLING RESIDENCES,87.94,680,598,3,STIRLING ROAD
ALANA,88.46,26,23,28,SUNRISE TERRACE
THE NAVIAN,89.58,48,43,14,JALAN EUNOS
120 GRANGE,90.0,50,45,10,GRANGE ROAD
V ON SHENTON,90.2,500,451,1,SHENTON WAY
MARTIN MODERN,91.59,345,316,9,MARTIN PLACE
LE QUEST,92.53,415,384,23,BUKIT BATOK STREET 41
KALLANG RIVERSIDE,93.87,212,199,12,KAMPONG BUGIS
ASPEN LINQ,94.44,18,17,9,INSTITUTION HILL
WATERCOVE,94.59,74,70,27,WAK HASSAN DRIVE
QUEENS PEAK,94.7,736,697,3,DUNDEE ROAD
MAYFAIR GARDENS,95.0,140,133,21,RIFLE RANGE ROAD
WHISTLER GRAND,95.33,300,286,5,WEST COAST VALE
SEASUITES,96.15,52,50,5,PASIR PANJANG ROAD
ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD
GRANDEUR PARK RESIDENCES,97.08,720,699,16,BEDOK SOUTH AVENUE 3
THE TRE VER,97.33,450,438,13,POTONG PASIR AVENUE 1
183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD
FOREST WOODS,97.69,519,507,19,LORONG LEW LIAN
PARK PLACE RESIDENCES AT PLQ,97.9,429,420,14,PAYA LEBAR ROAD
THE OCTET,98.21,56,55,14,LORONG 24 GEYLANG
HARBOUR VIEW GARDENS,98.25,57,56,5,PASIR PANJANG ROAD
THE ALPS RESIDENCES,98.4,626,616,18,TAMPINES STREET 86
RIVERCOVE RESIDENCES,98.73,628,620,19,ANCHORVALE LANE
THE POIZ RESIDENCES,99.45,731,727,13,MEYAPPA CHETTIAR ROAD
GEM RESIDENCES,99.48,578,575,12,LORONG 5 TOA PAYOH
DUO RESIDENCES,99.55,660,657,7,FRASER STREET
TREASURE CREST,99.8,504,503,19,ANCHORVALE CRESCENT
THE CLEMENT CANOPY,100.0,505,505,5,CLEMENTI AVENUE 1
REZI 35,100.0,44,44,14,LORONG 35 GEYLANG
PARC LIFE,100.0,628,628,27,SEMBAWANG CRESCENT
NORTHWAVE,100.0,358,358,25,WOODLANDS VIEW
PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD
SOL ACRES,100.0,1327,1327,23,CHOA CHU KANG GROVE
SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD
CITY GATE,100.0,311,311,7,BEACH ROAD
33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG
SIXTEEN35 RESIDENCES,100.0,60,60,14,LORONG 35 GEYLANG
THE ENCLAVE . HOLLAND,100.0,10,10,10,HOLLAND ROAD
