Project,Street,District,Rent,PricePerSqft
LANDED HOUSING DEVELOPMENT,SPRINGSIDE AVENUE,14,750,0.58
MARINE VIEW MANSIONS,MARINE PARADE,05,800,0.67
ASPEN LOFT,JOO CHIAT TERRACE,14,1050,0.81
SPRING @ LANGSAT,LANGSAT ROAD,19,3500,0.88
THE TOPIARY,FERNVALE LANE,10,1300,0.93
LLOYD SIXTYFIVE,LLOYD ROAD,10,1300,0.93
LANDED HOUSING DEVELOPMENT,LORONG 30 GEYLANG,10,1300,0.93
SEASCAPE,COVE WAY,26,3800,0.95
DONG XING COURT,TAY LIAN TECK ROAD,20,3500,1.0
YEWTEE RESIDENCES,CHOA CHU KANG NORTH 6,26,3600,1.03
JERVOISVILLE,JERVOIS ROAD,28,3200,1.07
TERESA TERRACE,BUKIT TERESA CLOSE,12,1600,1.07
AMBER SKYE,AMBER ROAD,19,6000,1.09
WEST POINT PEARL GARDEN,WEST COAST ROAD,19,6000,1.09
THE TRILLIUM,KIM SENG ROAD,13,1000,1.11
OXLEY EDGE,RIVER VALLEY ROAD,13,1000,1.11
V ON SHENTON,SHENTON WAY,13,1000,1.11
THE AMSTON,HILLVIEW AVENUE,15,1138,1.14
HILLVIEW GREEN,HUME AVENUE,10,7500,1.15
AVON PARK,YOUNGBERG TERRACE,05,7000,1.17
NON-LANDED HOUSING DEVELOPMENT,TELOK BLANGAH ROAD,18,3600,1.2
THE VALES,ANCHORVALE CRESCENT,20,5600,1.24
BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,26,3800,1.27
THE LADYHILL,LADY HILL ROAD,19,3200,1.28
SOHO 188,RACE COURSE ROAD,16,3200,1.28
IRESIDENCES,IRRAWADDY ROAD,16,4500,1.29
LANDED HOUSING DEVELOPMENT,RICHARDS AVENUE,23,3300,1.32
PARC SOPHIA,ADIS ROAD,20,2000,1.33
THE SPRINGBLOOM,SERANGOON AVENUE 3,20,4000,1.33
FAMILIE MANSIONS,LORONG 8 GEYLANG,22,4000,1.33
THE REGALIA,RIVER VALLEY CLOSE,22,4000,1.33
LOFT@HOLLAND,HOLLAND ROAD,22,4000,1.33
WILKIE COURT,WILKIE ROAD,13,1200,1.33
SIMS GREEN,LORONG 27A GEYLANG,23,4000,1.33
THE TREELINE,LORONG G TELOK KURAU,15,2300,1.35
LANDED HOUSING DEVELOPMENT,DUKU PLACE,17,3400,1.36
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,11,7500,1.36
38 AMBER,AMBER ROAD,28,3400,1.36
PARRY PARK,PARRY ROAD,19,4200,1.4
VERDUN HOUSE,VERDUN ROAD,26,4200,1.4
EVERGREEN GARDEN,EVERGREEN GARDENS,28,3500,1.4
HARBOURLIGHTS,TELOK BLANGAH ROAD,19,4200,1.4
CORAL PARK,JALAN PEMIMPIN,19,4200,1.4
LANDED HOUSING DEVELOPMENT,PHILLIPS AVENUE,28,4889,1.4
HILLINGTON GREEN,HILLVIEW AVENUE,16,4300,1.43
SEVEN PALMS SENTOSA COVE,COVE DRIVE,28,4300,1.43
BURLINGTON SQUARE,BENCOOLEN STREET,23,2300,1.44
THE DOMAIN,EAST COAST ROAD,13,6500,1.44
LANDED HOUSING DEVELOPMENT,CHIKU ROAD,21,8000,1.45
STARLIGHT SUITES,RIVER VALLEY CLOSE,20,5800,1.45
LANDED HOUSING DEVELOPMENT,MAKEPEACE ROAD,20,2200,1.47
ADAM GREEN,ADAM ROAD,14,2200,1.47
SILVER HILL,JALAN NAUNG,23,3700,1.48
SUITES 123,RANGOON ROAD,10,3000,1.5
BALMY COURT,LORONG 27A GEYLANG,22,2100,1.5
NON-LANDED HOUSING DEVELOPMENT,TANGLIN ROAD,10,2100,1.5
CASA MELWANI,SURREY ROAD,28,3000,1.5
THE AMARELLE,LIM AH WOO ROAD,22,4500,1.5
BREEZEWAYS,JALAN MAT JAMBOL,22,4500,1.5
LUCKY PLAZA APARTMENTS,ORCHARD ROAD,22,4500,1.5
APOLLO GARDENS,SUNBIRD CIRCLE,16,3000,1.5
HILLS TWOONE,HILLVIEW TERRACE,21,2400,1.5
IDYLLIC RESIDENCES,LORONG M TELOK KURAU,23,4500,1.5
ROSYTH RESIDENCE,ROSYTH ROAD,19,3800,1.52
FERNHILL GARDEN,FERNHILL CRESCENT,21,2300,1.53
GOLDHILL GARDENS,GOLDHILL DRIVE,20,2300,1.53
LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,19,4600,1.53
SCENIC HEIGHTS,BALESTIER ROAD,22,2300,1.53
HUA XIN COURT,NALLUR ROAD,12,2600,1.53
LANDED HOUSING DEVELOPMENT,JALAN MENARONG,12,2000,1.54
THE VERTE,LORONG H TELOK KURAU,20,6200,1.55
LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,23,1700,1.55
LANDED HOUSING DEVELOPMENT,EASTWOOD ROAD,13,8500,1.55
EASTPOINT GREEN,SIMEI STREET 3,16,3888,1.56
CASA IRRAWADDY,IRRAWADDY ROAD,23,3900,1.56
THE CENTRIS,JURONG WEST CENTRAL 3,14,2500,1.56
THE AMBROSIA,LORONG N TELOK KURAU,16,3301,1.57
CAVENAGH HOUSE,CAVENAGH ROAD,05,3300,1.57
38 I SUITES,IPOH LANE,16,3950,1.58
DLV.,DALVEY ROAD,15,2700,1.59
SANCTUARY @813,UPPER SERANGOON ROAD,20,4000,1.6
ENG APARTMENTS,LORONG 25A GEYLANG,08,4000,1.6
MING PARK,JALAN BINCHANG,27,6400,1.6
SMAILING COURT,LORONG MYDIN,27,2100,1.62
PALM VISTA,LORONG G TELOK KURAU,23,2300,1.64
THE TOMLINSON,CUSCADEN ROAD,22,2300,1.64
CITY PLAZA,GEYLANG ROAD,28,3300,1.65
THE CENTRIO,IRRAWADDY ROAD,15,3300,1.65
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,15,3300,1.65
LANDED HOUSING DEVELOPMENT,SARKIES ROAD,15,3300,1.65
CHELSEA GARDENS,WALSHE ROAD,15,8300,1.66
NON-LANDED HOUSING DEVELOPMENT,KIM YAM ROAD,15,8300,1.66
VICTORIA APARTMENTS,KITCHENER ROAD,15,8300,1.66
LANDED HOUSING DEVELOPMENT,RECREATION LANE,21,2500,1.67
NON-LANDED HOUSING DEVELOPMENT,LORONG LIMAU,21,2500,1.67
TREVOSE PARK,TREVOSE CRESCENT,10,7500,1.67
KOVAN REGENCY,KOVAN RISE,10,7500,1.67
MILLAGE,CHANGI ROAD,10,7500,1.67
HOLLAND PEAK,HOLLAND HILL,20,2500,1.67
PINEVALE,TAMPINES STREET 73,22,2500,1.67
VILLE ROYALE,RIVER VALLEY ROAD,13,2500,1.67
HARMONY @ 1A,LIM AH PIN ROAD,23,3500,1.67
ST ANNE'S WOOD,ST. ANNE'S WOOD,15,5000,1.67
PRIMO RESIDENCES,JALAN PELIKAT,16,2500,1.67
NON-LANDED HOUSING DEVELOPMENT,MACPHERSON ROAD,20,4200,1.68
CASA SOPHIA,SOPHIA ROAD,14,2350,1.68
HEJI GARDENS,LORONG K TELOK KURAU,11,9250,1.68
THE ASTON,KAY POH ROAD,23,2550,1.7
BAYWATER,BEDOK RESERVOIR ROAD,19,6800,1.7
LANDED HOUSING DEVELOPMENT,BERRIMA ROAD,11,8500,1.7
MERAWOODS,HILLVIEW AVENUE,15,2900,1.71
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,23,2400,1.71
LOTUS AT JOO CHIAT,EVERITT ROAD,22,2400,1.71
THE LINCOLN MODERN,LINCOLN ROAD,22,2400,1.71
LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,21,2600,1.73
LANDED HOUSING DEVELOPMENT,BELMONT ROAD,21,2600,1.73
LANDED HOUSING DEVELOPMENT,JOO CHIAT AVENUE,21,2600,1.73
105 LORONG G,LORONG G TELOK KURAU,21,2600,1.73
THE ORIENT,PASIR PANJANG ROAD,16,2250,1.73
THE VANTAGE,ORANGE GROVE ROAD,14,5200,1.73
SERAYA VILLE,SERAYA LANE,18,2600,1.73
LAKEHOLMZ,CORPORATION ROAD,19,2600,1.73
BUCKLEY 18,BUCKLEY ROAD,10,10500,1.75
STEVENS SUITES,STEVENS CLOSE,12,3000,1.76
THE CAIRNHILL,CAIRNHILL RISE,09,4400,1.76
FRANKEL ESTATE,BURNFOOT TERRACE,22,2300,1.77
ROSYTH LODGE,ROSYTH ROAD,22,2300,1.77
LEONIE CONDOTEL,LEONIE HILL ROAD,22,2300,1.77
BUCKLEY RESIDENCE,BUCKLEY ROAD,23,1950,1.77
THE RIVERINE BY THE PARK,KALLANG ROAD,23,2300,1.77
LANDED HOUSING DEVELOPMENT,FOO KIM LIN ROAD,19,3200,1.78
LANDED HOUSING DEVELOPMENT,NASSIM ROAD,23,2500,1.79
STARFIRE @ SOPHIA,SOPHIA ROAD,23,2500,1.79
EDENZ SUITES,LORONG 28 GEYLANG,15,3400,1.79
NON-LANDED HOUSING DEVELOPMENT,HORNE ROAD,22,2500,1.79
CASSIA EDGE,GUILLEMARD ROAD,22,2500,1.79
LANDED HOUSING DEVELOPMENT,ROBEY CRESCENT,22,2500,1.79
THOMSON V ONE,SIN MING ROAD,22,2500,1.79
PRESTIGE RESIDENCE,LORONG G TELOK KURAU,18,2500,1.79
RV POINT,RIVER VALLEY ROAD,21,2500,1.79
THE PROMONT,CAIRNHILL CIRCLE,21,2700,1.8
SUITES @ TOPAZ,TOPAZ ROAD,20,2700,1.8
D'BANYAN,JALAN SENDUDOK,23,2700,1.8
HOLLAND HILL LODGE,HOLLAND HILL,19,2700,1.8
BOTANNIA,WEST COAST PARK,28,3600,1.8
BAYOU RESIDENCE,UPPER PAYA LEBAR ROAD,18,2900,1.81
NORMANTON PARK,NORMANTON PARK,19,2900,1.81
THE CORNWALL,CORNWALL GARDENS,23,2350,1.81
DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,21,2000,1.82
STRATFORD COURT,BEDOK RIA CRESCENT,21,2000,1.82
BOTANIC GARDENS MANSION,TAMAN SERASI,21,2000,1.82
LANDED HOUSING DEVELOPMENT,SENNETT PLACE,21,2550,1.82
THE PARK VALE,PARK VALE,03,2000,1.82
ICON,GOPENG STREET,16,3100,1.82
BALESTIER 288,BALESTIER ROAD,23,2000,1.82
NON-LANDED HOUSING DEVELOPMENT,JALAN BESAR,23,2000,1.82
WILKIE REGENCY,WILKIE TERRACE,23,2000,1.82
LANDED HOUSING DEVELOPMENT,TAY LIAN TECK DRIVE,11,10000,1.82
TANAMERA CREST,PARI DEDAP WALK,21,2000,1.82
TERRASSE,TERRASSE LANE,03,2200,1.83
JARDIN,DUNEARN ROAD,10,3300,1.83
NON-LANDED HOUSING DEVELOPMENT,LORONG 17 GEYLANG,18,2200,1.83
MERA EAST,CHANGI ROAD,23,2200,1.83
THE TREVOSE,TREVOSE CRESCENT,19,2200,1.83
NON-LANDED HOUSING DEVELOPMENT,BALMORAL PARK,14,2200,1.83
THE URBANITE,HERTFORD ROAD,19,2950,1.84
COUNTRY GRANDEUR,LORONG PUNTONG,09,2950,1.84
SERENITY TERRACE,LORONG MARZUKI,15,2400,1.85
H RESIDENCES,LORONG H TELOK KURAU,23,2400,1.85
SENNETT ESTATE,BELIMBING AVENUE,17,1850,1.85
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,18,2400,1.85
THE VIEW @ MEYER,MEYER ROAD,03,3700,1.85
OLEANAS RESIDENCE,KIM YAM ROAD,23,2600,1.86
LANDED HOUSING DEVELOPMENT,NAMLY VIEW,23,2600,1.86
MOUNT SINAI,MOUNT SINAI AVENUE,21,2600,1.86
WHITEHAVEN,PASIR PANJANG ROAD,16,4100,1.86
CENTRAL GROVE,GEYLANG EAST AVENUE 1,05,6500,1.86
LANDED HOUSING DEVELOPMENT,EAST COAST AVENUE,05,6500,1.86
PARC OLYMPIA,FLORA DRIVE,18,2600,1.86
NON-LANDED HOUSING DEVELOPMENT,TYRWHITT ROAD,18,2600,1.86
LANDED HOUSING DEVELOPMENT,CHANCERY LANE,15,2600,1.86
18 SHELFORD,SHELFORD ROAD,23,4650,1.86
NON-LANDED HOUSING DEVELOPMENT,HAVELOCK ROAD,21,2800,1.87
GEYLANG HERITAGE,LORONG 34 GEYLANG,21,2800,1.87
SUNNY PARC,LORONG K TELOK KURAU,21,2800,1.87
CENTRA RESIDENCE,LORONG 7 GEYLANG,18,5600,1.87
LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,18,2800,1.87
PINEWOOD TERRACE,PINEWOOD GROVE,14,3000,1.88
CORALIS,JOO CHIAT ROAD,18,2450,1.88
NON-LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,10,3200,1.88
THE STERLING,BUKIT TIMAH ROAD,12,3200,1.88
TANGLIN PARK,RIDLEY PARK,23,2450,1.88
MISTRAL PARK,HARVEY AVENUE,09,3000,1.88
PALM GREEN,PASIR PANJANG ROAD,23,4700,1.88
OCEAN PARK,EAST COAST ROAD,21,2650,1.89
WOOLLERTON PARK,WOOLLERTON PARK,21,2650,1.89
KEW PLACE,SALAM WALK,21,2650,1.89
MUSWELL VILLAS,MUSWELL HILL,19,2850,1.9
STEVENS LOFT,STEVENS DRIVE,17,1900,1.9
LANDED HOUSING DEVELOPMENT,JALAN DERMAWAN,18,2850,1.9
HOLLAND GROVE,HOLLAND GROVE VIEW,15,3800,1.9
LA CASA,WOODLANDS DRIVE 16,15,3800,1.9
BRENTWOOD,LLOYD ROAD,23,2100,1.91
BALMORAL 8,BALMORAL ROAD,21,2100,1.91
NINE RESIDENCES,YISHUN AVENUE 9,21,2675,1.91
DELIGHT COURT,LORONG 33 GEYLANG,21,2100,1.91
RV EDGE,SHANGHAI ROAD,21,2100,1.91
THE MAYFAIR,JURONG EAST STREET 32,15,4200,1.91
HILLVIEW ESTATE,JALAN INTAN,14,2100,1.91
CITIGATE RESIDENCE,RANGOON ROAD,23,2100,1.91
CENTRAL MEADOWS,LORONG 34 GEYLANG,11,10500,1.91
RAJAH TOWERS,JALAN RAJAH,27,2100,1.91
CHIP BEE GARDENS,JALAN HITAM MANIS,23,2100,1.91
THE MERCURY,SHANGHAI ROAD,19,2100,1.91
LANDED HOUSING DEVELOPMENT,JALAN TARI SERIMPI,16,2500,1.92
NON-LANDED HOUSING DEVELOPMENT,BUKIT TIMAH ROAD,15,2500,1.92
EMPRADO SUITES,LORONG N TELOK KURAU,22,2500,1.92
OLEANDER TOWERS,LORONG 1 TOA PAYOH,22,2500,1.92
JUNIPER AT ARDMORE,ARDMORE PARK,22,2500,1.92
BLISS VILLE,LORONG MELAYU,22,2500,1.92
MEDGE,MINBU ROAD,22,2500,1.92
SEASTRAND,PASIR RIS LINK,16,2500,1.92
WINDSOR PARK ESTATE,JUPITER ROAD,15,2300,1.92
EAST COURT,KOON SENG ROAD,12,2300,1.92
VALLEY LODGE,RIVER VALLEY ROAD,18,2500,1.92
ELIZABETH HEIGHTS,CAIRNHILL ROAD,14,2500,1.92
MARTINA MANSIONS,BUKIT TIMAH ROAD,19,2300,1.92
LANDED HOUSING DEVELOPMENT,SWETTENHAM ROAD,23,2500,1.92
KAI FOOK MANSION,KIM TIAN ROAD,21,2700,1.93
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,21,2700,1.93
LANDED HOUSING DEVELOPMENT,BUKIT AYER MOLEK,21,2700,1.93
THE MKZ,MACKENZIE ROAD,21,2700,1.93
THE INFLORA,FLORA DRIVE,21,2700,1.93
SUFFOLK PREMIER,SUFFOLK ROAD,22,2700,1.93
NON-LANDED HOUSING DEVELOPMENT,LORONG 1 GEYLANG,10,5800,1.93
KIM LIN PARK,JALAN ARNAP,10,5800,1.93
368 THOMSON,THOMSON ROAD,10,5800,1.93
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,16,3500,1.94
TAI HWAN PARK,TAI HWAN CRESCENT,17,1750,1.94
THE COAST AT SENTOSA COVE,OCEAN DRIVE,23,2150,1.95
NATURA@HILLVIEW,HILLVIEW TERRACE,21,2150,1.95
PEBBLE BAY,TANJONG RHU ROAD,21,2150,1.95
RIVER PLACE,HAVELOCK ROAD,21,2150,1.95
LANDED HOUSING DEVELOPMENT,CLUNY PARK,15,3900,1.95
E MAISON,BRADDELL ROAD,22,2550,1.96
LAUW & SONS GARDEN,BINCHANG RISE,17,2350,1.96
HILLVIEW COURT,JALAN DERMAWAN,09,4500,1.96
OASIS @ ELIAS,ELIAS ROAD,15,2550,1.96
KING'S GARDEN,KING'S CLOSE,20,6900,1.97
THE GREENWICH,SELETAR ROAD,15,2950,1.97
THE COTZ,TELOK KURAU ROAD,15,2600,2.0
CUBE 8,THOMSON ROAD,21,2200,2.0
JERVOIS LODGE,JERVOIS ROAD,21,2200,2.0
J C DRAYCOTT,DRAYCOTT DRIVE,21,2200,2.0
LANDED HOUSING DEVELOPMENT,LORONG 13 GEYLANG,21,2800,2.0
