Postal,Latitude,Longitude,Project,Street
NIL,1.40419032815272,103.821702326186,,SPRINGSIDE AVENUE
449273,1.30378097367834,103.905465982943,MARINE VIEW MANSIONS,MARINE PARADE
427317,1.31490030246071,103.904709645918,ASPEN LOFT,JOO CHIAT TERRACE
426691,1.31511560820489,103.900276347946,SPRING @ LANGSAT,LANGSAT ROAD
797502,1.38847474489646,103.87176861512,THE TOPIARY,FERNVALE LANE
239114,1.29727294661047,103.838940257017,LLOYD SIXTYFIVE,LLOYD ROAD
NIL,1.31263020052,103.886319562745,,LORONG 30 GEYLANG
098309,1.23992706882713,103.838041081426,SEASCAPE,COVE WAY
455620,1.31254339054712,103.929243724485,DONG XING COURT,TAY LIAN TECK ROAD
689580,1.39684157804622,103.746738776813,YEWTEE RESIDENCES,CHOA CHU KANG NORTH 6
249033,1.29438332889009,103.822532930933,JERVOISVILLE,JERVOIS ROAD
099798,1.27635503780293,103.825840553227,TERESA TERRACE,BUKIT TERESA CLOSE
439853,1.29962978981919,103.898114344383,AMBER SKYE,AMBER ROAD
127412,1.31180152918392,103.757840237456,WEST POINT PEARL GARDEN,WEST COAST ROAD
239435,1.2947474756807,103.832623941691,THE TRILLIUM,KIM SENG ROAD
238349,1.29563102657535,103.841615089993,OXLEY EDGE,RIVER VALLEY ROAD
068814,1.27708340707632,103.849181343548,V ON SHENTON,SHENTON WAY
669609,1.35723352374845,103.760468532409,THE AMSTON,HILLVIEW AVENUE
598747,1.35832010894808,103.763742429204,HILLVIEW GREEN,HUME AVENUE
357741,1.33924560642214,103.869770060845,AVON PARK,YOUNGBERG TERRACE
NIL,1.272530662418,103.802464930159,,TELOK BLANGAH ROAD
544628,1.3967568980943,103.893462037031,THE VALES,ANCHORVALE CRESCENT
NIL,1.28093851782818,103.841752941786,BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD
258670,1.31043767328058,103.825040084753,THE LADYHILL,LADY HILL ROAD
218612,1.31119207325576,103.853275742831,SOHO 188,RACE COURSE ROAD
329550,1.32526434675067,103.845622069281,IRESIDENCES,IRRAWADDY ROAD
NIL,1.36256270589653,103.881428796111,,RICHARDS AVENUE
229976,1.30124327686912,103.847738410626,PARC SOPHIA,ADIS ROAD
556122,1.35071674013671,103.86255478704,THE SPRINGBLOOM,SERANGOON AVENUE 3
399125,1.309836992695,103.877503150169,FAMILIE MANSIONS,LORONG 8 GEYLANG
238428,1.29520286174268,103.836921549212,THE REGALIA,RIVER VALLEY CLOSE
278580,1.31236368151804,103.797168759641,LOFT@HOLLAND,HOLLAND ROAD
