,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
0,CAYMAN RESIDENCES,47.37,19,9,15,EAST COAST AVENUE,15.0,15.0,15.0,OCR,0,NIL,1.30982421000159,103.923305002329,,,,
1,CAYMAN RESIDENCES,47.37,19,9,15,EAST COAST AVENUE,15.0,15.0,15.0,OCR,0,454958,1.30893240892842,103.922573359187,EIGHT @ EAST COAST,8.0,2800.0,4.0
2,CAYMAN RESIDENCES,47.37,19,9,15,EAST COAST AVENUE,15.0,15.0,15.0,OCR,0,459170,1.30872467557468,103.922132141083,LIAN VILLAS,21.0,2050.0,4.1
3,GRANDEUR PARK RESIDENCES,97.08,720,699,16,BEDOK SOUTH AVENUE 3,16.0,16.0,16.0,OCR,0,469298,1.3215916449101102,103.94467113581,BEDOK COURT,10.0,3200.0,2.91
4,GRANDEUR PARK RESIDENCES,97.08,720,699,16,BEDOK SOUTH AVENUE 3,16.0,16.0,16.0,OCR,0,465460,1.3229311859666102,103.945125602145,ECO,19.0,1800.0,3.0
5,THE FLORENCE RESIDENCES,38.5,200,77,19,HOUGANG AVENUE 2,19.0,19.0,19.0,OCR,77,NIL,1.3684079675516998,103.883956472689,FLORENCE REGENCY,9.0,6000.0,3.53
6,REZI 24,3.64,110,4,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,4,398628,1.3120699913603702,103.883562422294,THE OCTET,11.0,2500.0,2.5
7,REZI 24,3.64,110,4,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,4,NIL,1.3120304535969198,103.883335850644,# 1 LOFT,15.0,1550.0,3.1
8,REZI 24,3.64,110,4,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,4,398623,1.31231784749153,103.88353231795901,EDENZ LOFT,11.0,7000.0,4.38
9,THE OCTET,98.21,56,55,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,0,398628,1.3120699913603702,103.883562422294,THE OCTET,11.0,2500.0,2.5
10,THE OCTET,98.21,56,55,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,0,NIL,1.3120304535969198,103.883335850644,# 1 LOFT,15.0,1550.0,3.1
11,THE OCTET,98.21,56,55,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,0,398623,1.31231784749153,103.88353231795901,EDENZ LOFT,11.0,7000.0,4.38
12,ARTRA,79.5,400,318,3,ALEXANDRA VIEW,3.0,3.0,3.0,RCR,2,158744,1.29056999681589,103.81900078172801,ALEX RESIDENCES,10.0,5900.0,2.36
13,ARTRA,79.5,400,318,3,ALEXANDRA VIEW,3.0,3.0,3.0,RCR,2,158742,1.29060694545578,103.817866920135,ECHELON,3.0,6900.0,3.29
14,ARTRA,79.5,400,318,3,ALEXANDRA VIEW,3.0,3.0,3.0,RCR,2,158748,1.29094473172584,103.81700011525801,ASCENTIA SKY,10.0,3300.0,3.3
15,ARTRA,79.5,400,318,3,ALEXANDRA VIEW,3.0,3.0,3.0,RCR,2,158747,1.29047734223073,103.81601645096,THE METROPOLITAN CONDOMINIUM,9.0,3300.0,4.13
