Postal,Latitude,Longitude,Project,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
454785,1.3094282152968402,103.922016118855,CAYMAN RESIDENCES,EAST COAST AVENUE,47.37,19,9,15
465466,1.32489040193077,103.944841446726,GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,97.08,720,699,16
533752,1.3672144687456,103.886695353899,THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,38.5,200,77,19
129961,1.30667624811571,103.768536922932,THE CLEMENT CANOPY,CLEMENTI AVENUE 1,100.0,505,505,5
398636,1.31156422500947,103.883576001591,REZI 24,LORONG 24 GEYLANG,3.64,110,4,14
448873,1.3074128972961598,103.926676412664,SEASIDE RESIDENCES,SIGLAP LINK,87.75,841,738,15
158736,1.29012765494823,103.81655234786899,ARTRA,ALEXANDRA VIEW,79.5,400,318,3
237964,1.29327832151344,103.83736905504999,MARTIN MODERN,MARTIN PLACE,91.59,345,316,9
544773,1.35595266721864,103.879106731641,HILLSGROVE,HILLSIDE DRIVE,41.67,12,5,19
189350,1.29916295967819,103.857859536947,DUO RESIDENCES,FRASER STREET,99.55,660,657,7
544617,1.39822841732376,103.891999593966,TREASURE CREST,ANCHORVALE CRESCENT,99.8,504,503,19
387949,1.31572120937621,103.888837131268,REZI 35,LORONG 35 GEYLANG,100.0,44,44,14
429781,1.31315720102799,103.89780367183799,CARPMAEL THIRTY-EIGHT,CARPMAEL ROAD,68.75,16,11,15
249185,1.29566658592682,103.82885975081,M5,JALAN MUTIARA,33.33,33,11,10
756971,1.45618292104071,103.836760072833,KANDIS RESIDENCE,KANDIS LINK,83.61,61,51,27
756988,1.4426300763578899,103.81941659844,PARC LIFE,SEMBAWANG CRESCENT,100.0,628,628,27
239669,1.29534157993432,103.83984438568301,ASPEN LINQ,INSTITUTION HILL,94.44,18,17,9
437324,1.3120516248046799,103.89322363322201,SANDY EIGHT,SANDY LANE,70.0,20,14,15
329832,1.32657360790911,103.848359893837,ASCENT @ 456,BALESTIER ROAD,96.43,28,27,12
358474,1.3315446802070101,103.866996465418,THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,99.45,731,727,13
574429,1.35096063593166,103.835503542512,183 LONGHAUS,UPPER THOMSON ROAD,97.5,40,39,20
428776,1.30539241248222,103.903484200601,THE RED HOUSE,EAST COAST ROAD,57.14,35,20,15
533942,1.34699612598768,103.882364626022,URBAN VILLAS,PAYA LEBAR CRESCENT,71.43,7,5,19
126756,1.3196876800603798,103.752699363733,TWIN VEW,WEST COAST VALE,87.5,520,455,5
329341,1.3273664689351798,103.851568376064,NEEM TREE,JALAN KEMAMAN,86.11,72,62,12
797394,1.39799319572826,103.875269758363,PARC BOTANNIA,FERNVALE STREET,72.79,735,535,28
419530,1.32780887766584,103.906399584482,THE NAVIAN,JALAN EUNOS,89.58,48,43,14
657978,1.35602149294563,103.740697641546,LE QUEST,BUKIT BATOK STREET 41,92.53,415,384,23
528538,1.3554287394292,103.929903616182,THE ALPS RESIDENCES,TAMPINES STREET 86,98.4,626,616,18
409056,1.3167563411548702,103.89307903276101,PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,97.9,429,420,14
737703,1.4437374355444499,103.810309503009,NORTHWAVE,WOODLANDS VIEW,100.0,358,358,25
425783,1.31302431574799,103.91318542248399,KALEIDO,LORONG K TELOK KURAU,35.71,14,5,15
126752,1.31961164929379,103.754330936499,WHISTLER GRAND,WEST COAST VALE,95.33,300,286,5
309079,1.31711023904745,103.83795684474899,35 GILSTEAD,GILSTEAD ROAD,8.57,35,3,11
217701,1.31647752400494,103.85775084992201,1953,TESSENSOHN ROAD,31.03,58,18,12
247657,1.29299859600983,103.823118014859,PETIT JERVOIS,JERVOIS ROAD,100.0,1,1,10
588407,1.33819401611974,103.782134045215,MAYFAIR GARDENS,RIFLE RANGE ROAD,95.0,140,133,21
424353,1.31125968514041,103.90507911406,THE RAMFORD,RAMBAI ROAD,81.25,16,13,15
536496,1.35138575561117,103.87634346565201,FOREST WOODS,LORONG LEW LIAN,97.69,519,507,19
319459,1.3393382098676798,103.851224736347,GEM RESIDENCES,LORONG 5 TOA PAYOH,99.48,578,575,12
