Postal,Latitude,Longitude,Project,Street,District,Rent,PricePerSqft
NIL,1.40419032815272,103.82170232618601,,SPRINGSIDE AVENUE,,,
449273,1.3037809736783401,103.905465982943,MARINE VIEW MANSIONS,MARINE PARADE,5.0,800.0,0.67
427317,1.31490030246071,103.904709645918,ASPEN LOFT,JOO CHIAT TERRACE,14.0,1050.0,0.81
426691,1.3151156082048898,103.90027634794599,SPRING @ LANGSAT,LANGSAT ROAD,19.0,3500.0,0.88
797502,1.3884747448964598,103.87176861511999,THE TOPIARY,FERNVALE LANE,10.0,1300.0,0.93
239114,1.29727294661047,103.838940257017,LLOYD SIXTYFIVE,LLOYD ROAD,10.0,1300.0,0.93
NIL,1.31263020052,103.886319562745,,LORONG 30 GEYLANG,,,
098309,1.23992706882713,103.83804108142598,SEASCAPE,COVE WAY,26.0,3800.0,0.95
455620,1.3125433905471202,103.92924372448499,DONG XING COURT,TAY LIAN TECK ROAD,20.0,3500.0,1.0
689580,1.39684157804622,103.74673877681299,YEWTEE RESIDENCES,CHOA CHU KANG NORTH 6,26.0,3600.0,1.03
249033,1.2943833288900901,103.822532930933,JERVOISVILLE,JERVOIS ROAD,28.0,3200.0,1.07
099798,1.2763550378029298,103.82584055322701,TERESA TERRACE,BUKIT TERESA CLOSE,12.0,1600.0,1.07
439853,1.29962978981919,103.89811434438299,AMBER SKYE,AMBER ROAD,19.0,6000.0,1.09
127412,1.3118015291839198,103.757840237456,WEST POINT PEARL GARDEN,WEST COAST ROAD,19.0,6000.0,1.09
239435,1.2947474756807,103.832623941691,THE TRILLIUM,KIM SENG ROAD,13.0,1000.0,1.11
238349,1.2956310265753501,103.841615089993,OXLEY EDGE,RIVER VALLEY ROAD,13.0,1000.0,1.11
068814,1.27708340707632,103.849181343548,V ON SHENTON,SHENTON WAY,13.0,1000.0,1.11
669609,1.35723352374845,103.760468532409,THE AMSTON,HILLVIEW AVENUE,15.0,1138.0,1.14
598747,1.3583201089480799,103.763742429204,HILLVIEW GREEN,HUME AVENUE,10.0,7500.0,1.15
357741,1.3392456064221399,103.869770060845,AVON PARK,YOUNGBERG TERRACE,5.0,7000.0,1.17
NIL,1.272530662418,103.80246493015899,,TELOK BLANGAH ROAD,,,
544628,1.3967568980943,103.893462037031,THE VALES,ANCHORVALE CRESCENT,20.0,5600.0,1.24
NIL,1.2809385178281798,103.841752941786,BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,26.0,3800.0,1.27
258670,1.31043767328058,103.825040084753,THE LADYHILL,LADY HILL ROAD,19.0,3200.0,1.28
218612,1.31119207325576,103.853275742831,SOHO 188,RACE COURSE ROAD,16.0,3200.0,1.28
329550,1.32526434675067,103.845622069281,IRESIDENCES,IRRAWADDY ROAD,16.0,4500.0,1.29
NIL,1.3625627058965302,103.881428796111,,RICHARDS AVENUE,,,
229976,1.3012432768691202,103.847738410626,PARC SOPHIA,ADIS ROAD,20.0,2000.0,1.33
556122,1.3507167401367102,103.86255478704001,THE SPRINGBLOOM,SERANGOON AVENUE 3,20.0,4000.0,1.33
399125,1.309836992695,103.87750315016899,FAMILIE MANSIONS,LORONG 8 GEYLANG,22.0,4000.0,1.33
238428,1.2952028617426798,103.836921549212,THE REGALIA,RIVER VALLEY CLOSE,22.0,4000.0,1.33
