Longtitude,latitude,Station,Station Name
103.7422865,1.33315262,NS1,Jurong East
103.7495668,1.349034109,NS2,Bukit Batok
103.7517909,1.358611591,NS3,Bukit Gombak
103.7443708,1.385363165,NS4,Choa Chu Kang
103.7474051,1.397535018,NS5,Yew Tee
103.7621375,1.425086981,NS7,Kranji
103.7740746,1.432521149,NS8,Marsiling
103.7879308,1.436066982,NS9,Woodlands
103.800988,1.440585001,NS10,Admiralty
103.8200461,1.449050822,NS11,Sembawang
103.835005,1.42944308,NS13,Yishun
103.8329799,1.41738337,NS14,Khatib
103.8449473,1.381755887,NS15,Yio Chu Kang
103.8495581,1.369933175,NS16,Ang Mo Kio
103.848144,1.350838988,NS17,Bishan
103.8467991,1.340469001,NS18,Braddell
103.8475018,1.332628988,NS19,Toa Payoh
103.8438256,1.320440791,NS20,Novena
103.8379853,1.312320099,NS21,Newton
103.8322453,1.303979874,NS22,Orchard
103.8390858,1.300264167,NS23,Somerset
103.8461152,1.298701306,NS24,Dhoby Ghaut
103.8525859,1.292936242,NS25,City Hall
103.8514617,1.28412561,NS26,Raffles Place
103.8545978,1.276427354,NS27,Marina Bay
103.8624475,1.271027036,NS28,Marina South Pier
103.9492846,1.373043212,EW1,Pasir Ris
103.9451447,1.353301533,EW2,Tampines
103.9533717,1.343202895,EW3,Simei
103.9463481,1.32718775,EW4,Tanah Merah
103.9299845,1.323979969,EW5,Bedok
103.9129494,1.321038249,EW6,Kembangan
103.9032258,1.319783548,EW7,Eunos
103.8930604,1.318112082,EW8,Paya Lebar
103.882906,1.316432612,EW9,Aljunied
103.8713865,1.31148891,EW10,Kallang
103.8627676,1.307377508,EW11,Lavender
103.8557064,1.300465076,EW12,Bugis
103.8525859,1.292936242,EW13,City Hall
103.8514617,1.28412561,EW14,Raffles Place
103.8457252,1.276561317,EW15,Tanjong Pagar
103.8395135,1.279739707,EW16,Outram Park
103.8274451,1.286102536,EW17,Tiong Bahru
103.816741,1.289634534,EW18,Redhill
103.8060772,1.294550852,EW19,Queenstown
103.7982261,1.302508537,EW20,Commonwealth
103.7902535,1.307223708,EW21,Buona Vista
103.7786378,1.311405293,EW22,Dover
103.7651824,1.315201264,EW23,Clementi
103.7422865,1.33315262,EW24,Jurong East
103.7325967,1.342352821,EW25,Chinese Garden
103.7209491,1.344259131,EW26,Lakeside
103.7060646,1.338604055,EW27,Boon Lay
103.6973215,1.337586882,EW28,Pioneer
103.6783751,1.327717173,EW29,Joo Koon
103.6605304,1.319470868,EW30,Gul Circle
103.6490782,1.321026952,EW31,Tuas Crescent
103.6396141,1.329989089,EW32,Tuas West Road
103.6369914,1.340882425,EW33,Tuas Link
103.9623747,1.335382526,CG1,Expo
103.9878836,1.357478974,CG2,Changi Airport
103.8215302,1.265389384,NE1,HarbourFront
103.8395135,1.279739707,NE3,Outram Park
103.8451438,1.284223919,NE4,Chinatown
103.8465552,1.288386024,NE5,Clarke Quay
103.8461152,1.298701306,NE6,Dhoby Ghaut
103.849647,1.306800026,NE7,Little India
103.8534777,1.311905573,NE8,Farrer Park
103.8615695,1.319335709,NE9,Boon Keng
103.8690557,1.331379525,NE10,Potong Pasir
103.8708183,1.339190045,NE11,Woodleigh
103.8735748,1.349707875,NE12,Serangoon
103.8850649,1.360179171,NE13,Kovan
103.8923805,1.371292292,NE14,Hougang
103.8931216,1.382877858,NE15,Buangkok
103.8954847,1.391694626,NE16,Sengkang
103.9020726,1.404546727,NE17,Punggol
103.8461152,1.298701306,CC1,Dhoby Ghaut
103.8506674,1.296861686,CC2,Bras Basah
103.8550812,1.293657725,CC3,Esplanade
103.86035,1.293998569,CC4,Promenade
103.863637,1.299766835,CC5,Nicoll Highway
103.8753377,1.302812468,CC6,Stadium
103.8825281,1.306201905,CC7,Mountbatten
103.8890647,1.308547984,CC8,Dakota
103.8930604,1.318112082,CC9,Paya Lebar
103.8892986,1.326150243,CC10,MacPherson
103.888433,1.335102085,CC11,Tai Seng
103.8801779,1.342501178,CC12,Bartley
103.8735748,1.349707875,CC13,Serangoon
103.8641519,1.351612171,CC14,Lorong Chuan
103.848144,1.350838988,CC15,Bishan
103.8394231,1.348707263,CC16,Marymount
103.8395298,1.337674508,CC17,Caldecott
103.8149845,1.322113736,CC19,Botanic Gardens
103.8073792,1.317439152,CC20,Farrer Road
103.7963991,1.312240296,CC21,Holland Village
103.7902535,1.307223708,CC22,Buona Vista
103.7874575,1.299759878,CC23,one-north
103.7845724,1.293536986,CC24,Kent Ridge
103.7817527,1.282571358,CC25,Haw Par Villa
103.7913503,1.276213522,CC26,Pasir Panjang
103.8026316,1.272254177,CC27,Labrador Park
103.8097616,1.270706477,CC28,Telok Blangah
103.8215302,1.265389384,CC29,HarbourFront
103.8590798,1.281873789,CE1,Bayfront
103.8545978,1.276427354,CE2,Marina Bay
103.7615351,1.379002116,DT1,Bukit Panjang
103.7644392,1.369815449,DT2,Cashew
103.7674183,1.362344868,DT3,Hillview
103.7757943,1.341223176,DT5,Beauty World
103.7833991,1.335662762,DT6,King Albert Park
103.7969068,1.330857645,DT7,Sixth Avenue
103.8077603,1.325556235,DT8,Tan Kah Kee
103.8149845,1.322113736,DT9,Botanic Gardens
103.8260244,1.320065558,DT10,Stevens
103.8379853,1.312320099,DT11,Newton
103.849647,1.306800026,DT12,Little India
103.8527694,1.303852185,DT13,Rochor
103.8557064,1.300465076,DT14,Bugis
103.86035,1.293998569,DT15,Promenade
103.8590798,1.281873789,DT16,Bayfront
103.8528404,1.27944619,DT17,Downtown
103.8486488,1.282068948,DT18,Telok Ayer
103.8451438,1.284223919,DT19,Chinatown
103.8443311,1.292481237,DT20,Fort Canning
103.8503538,1.298918434,DT21,Bencoolen
103.8552957,1.305171388,DT22,Jalan Besar
103.8629776,1.313672528,DT23,Bendemeer
103.8716226,1.321301102,DT24,Geylang Bahru
